County,State,Total Population,Population ages 25 to 44,Population ages 45 to 64,Population ages 65 and above,State,County,Tract
San Diego County,California,7182,2037,1889,845,06,073,019303
San Diego County,California,5634,1850,1370,514,06,073,019403
San Diego County,California,3312,1022,766,261,06,073,019404
San Diego County,California,4047,1414,739,176,06,073,019405
San Diego County,California,4914,1378,1376,579,06,073,019406
San Diego County,California,3633,1247,617,120,06,073,019501
San Diego County,California,5868,1929,952,166,06,073,019502
San Diego County,California,5192,1890,1284,201,06,073,019503
San Diego County,California,6559,1631,1906,675,06,073,019601
San Diego County,California,5001,1423,1380,664,06,073,019602
San Diego County,California,6808,2189,1499,853,06,073,019701
San Diego County,California,4963,1440,1319,729,06,073,019702
San Diego County,California,4650,1402,1348,550,06,073,019803
San Diego County,California,4510,1051,1489,747,06,073,019804
San Diego County,California,3917,1103,752,856,06,073,019805
San Diego County,California,12375,3533,2830,1794,06,073,019806
San Diego County,California,4639,745,930,2223,06,073,019808
San Diego County,California,4192,575,1408,1155,06,073,019809
San Diego County,California,4190,1258,1086,424,06,073,019902
San Diego County,California,4689,1411,1435,610,06,073,019903
San Diego County,California,7004,2259,1809,968,06,073,019904
San Diego County,California,4244,1323,1147,642,06,073,019905
San Diego County,California,13810,3600,4076,1523,06,073,020013
San Diego County,California,7571,2174,2299,1211,06,073,020014
San Diego County,California,4728,1095,1510,902,06,073,020015
San Diego County,California,9578,1767,3480,1251,06,073,020016
San Diego County,California,3432,1115,765,388,06,073,020017
San Diego County,California,8096,2607,1799,566,06,073,020018
San Diego County,California,7028,1324,1909,2284,06,073,020019
San Diego County,California,7608,2192,1773,528,06,073,020020
San Diego County,California,6244,1952,1388,368,06,073,020021
San Diego County,California,8002,2467,1922,814,06,073,020022
San Diego County,California,4137,1029,1135,541,06,073,020023
San Diego County,California,4203,1018,1124,954,06,073,020024
San Diego County,California,5175,1641,1071,603,06,073,020025
San Diego County,California,4387,816,1408,961,06,073,020026
San Diego County,California,15729,4552,3550,1980,06,073,020027
San Diego County,California,4226,1500,530,117,06,073,020028
San Diego County,California,5764,1700,1132,920,06,073,020029
San Diego County,California,10809,2493,3484,1547,06,073,020103
San Diego County,California,4013,1090,981,590,06,073,020105
San Diego County,California,3581,820,1029,528,06,073,020106
San Diego County,California,4125,1048,1149,443,06,073,020107
San Diego County,California,6022,1887,912,508,06,073,020108
San Diego County,California,5592,1978,1295,463,06,073,020109
San Diego County,California,7137,2388,1070,465,06,073,020202
San Diego County,California,5478,1750,1092,432,06,073,020206
San Diego County,California,5185,1884,706,159,06,073,020207
San Diego County,California,2638,713,622,236,06,073,020208
San Diego County,California,5307,1766,891,740,06,073,020209
San Diego County,California,4830,1489,1175,419,06,073,020210
San Diego County,California,7041,1957,1468,660,06,073,020211
San Diego County,California,3878,1351,493,200,06,073,020213
San Diego County,California,6074,1662,898,453,06,073,020214
San Diego County,California,6435,1135,2050,1294,06,073,020304
San Diego County,California,6068,1421,1856,1016,06,073,020305
San Diego County,California,8981,2945,1779,1065,06,073,020306
San Diego County,California,7593,1823,2339,1027,06,073,020307
San Diego County,California,5450,1739,1042,1171,06,073,020308
San Diego County,California,4371,1614,981,338,06,073,020309
San Diego County,California,2329,433,809,600,06,073,020401
San Diego County,California,4058,1156,1153,503,06,073,020403
San Diego County,California,4710,1645,1204,660,06,073,020404
San Diego County,California,3169,533,1125,837,06,073,020405
San Diego County,California,5569,1661,1017,525,06,073,020500
San Diego County,California,6041,1844,1215,247,06,073,020601
San Diego County,California,6074,1860,1421,590,06,073,020602
San Diego County,California,4991,1669,1068,752,06,073,020705
San Diego County,California,6359,1249,2121,1249,06,073,020706
San Diego County,California,5159,1671,1081,327,06,073,020707
San Diego County,California,3857,748,1165,556,06,073,020708
San Diego County,California,8036,1876,2682,955,06,073,020709
San Diego County,California,1638,313,584,385,06,073,020710
San Diego County,California,5349,934,2017,905,06,073,020801
San Diego County,California,3834,904,993,441,06,073,020805
San Diego County,California,6031,1519,1440,780,06,073,020806
San Diego County,California,2756,497,1085,438,06,073,020807
San Diego County,California,8308,2396,2452,649,06,073,020809
San Diego County,California,5281,1123,1905,628,06,073,020810
San Diego County,California,5828,1277,1895,863,06,073,020811
San Diego County,California,2265,587,668,364,06,073,020902
San Diego County,California,3000,657,795,908,06,073,020903
San Diego County,California,2191,381,643,592,06,073,020904
San Diego County,California,3219,486,1002,1063,06,073,021000
San Diego County,California,7219,1599,2101,1346,06,073,021100
San Diego County,California,3234,585,968,533,06,073,021202
San Diego County,California,5820,1116,1848,1260,06,073,021204
San Diego County,California,7537,1669,2009,1063,06,073,021205
San Diego County,California,2806,462,1024,619,06,073,021206
San Diego County,California,7999,2628,2243,626,06,073,021302
San Diego County,California,8863,1679,2820,1511,06,073,021303
San Diego County,California,2545,399,1016,496,06,073,021304
San Diego County,California,6963,2162,1347,808,06,073,021400
San Diego County,California,8860,1567,2983,734,06,073,021500
San Diego County,California,3669,1279,356,478,06,073,021600
San Diego County,California,2551,399,861,617,06,073,021800
San Diego County,California,5245,1769,419,231,06,073,021900
San Diego County,California,4265,974,1196,470,06,073,022000
San Diego County,California,9580,2735,2500,933,06,073,022100
San Diego County,California,0,0,0,0,06,073,990100
